,Unnamed: 0.1,Unnamed: 0,branch,product_details,amount,amount_mdl,maturity_months,ir,eir,grace_period,montly_payment,repayment_schedule,guarantees,amount_pledge,ages_of_borrower,social_status,background,urban/rural,type_client_new/repeated,date_disbursement,gender,economic_sector,oustanding_amount,client/credit_segment_retail_micro_sme,experience_in_business_years,other_debts_to_banks_non,annual_sales_volume_mdl,annual_profit_mdl,amount_of_loans_paid_monthly,debt_service_ratio_%,assets_according_to_bs_for,equity_according_to_bs_for,net_profit_acc_to_bs,days_in_arrears_acc_to,how_many_loans_acc_to,duration_of_credit_history_since,existence_of_debt_collection_files/criminal,assets_according_to_public_service,target,Currency,Interest Rate,Inflation Rate,Food Inflation,Consumer Price Index CPI,Balance of Trade,Wages,Unemployment Rate,Remittances,GDP Growth Rate,Current Account,GDP,Government Budget
512,512,512,soroca,rapid_loan_75_001_150000_mdl,60000,60000,24,25.0,35.7828,0.0,3415.86,floating,guarantor,0.0,47,divorced,post_secondary,urban,new,2022-05-20,female,commerce,0,micro,2.0,200230.94,1002852.0,222600,6184,33,,,,121+,2.0,136,4,,1,2518.6,2518.6,2518.6,2518.6,2518.6,2518.6,2518.6,2518.6,2518.6,2518.6,2518.6,2518.6,2518.6
513,513,513,chisinau_strcalea_iesilor,rapid_loan_75_001_150000_mdl,80000,80000,24,20.0,33.348,0.0,4450.64,fixed,guarantor,0.0,31,married,lyceum,urban,new,2020-07-31,male,commerce,0,micro,0.0,0.0,420000.0,104316,4490,52,0.0,0.0,0.0,0,0.0,0,0,0.0,1,-278.9,-278.9,-278.9,-278.9,-278.9,-278.9,-278.9,-278.9,-278.9,-278.9,-278.9,-278.9,-278.9
514,514,514,soroca,rapid_loan_75_001_150000_mdl,100000,100000,36,23.0,35.6436,0.0,4400.53,floating,guarantor,0.0,56,single,higher,rural,new,2024-04-17,female,commerce,96161.49,micro,15.0,86992.0,144553.0,34565,19003,55,,,,0,3.0,145,0,,1,17.646,17.646,17.646,17.646,17.646,17.646,17.646,17.646,17.646,17.646,17.646,17.646,17.646
515,515,515,drochia,rapid_loan_<=75_000_mdl,40000,40000,23,25.0,34.818,0.0,7351.76,floating,guarantor,0.0,52,married,school,rural,new,2022-03-11,male,agriculture,0,micro,17.0,899499.0,684800.0,456520,30449.75,80,,,,0,5.0,108,2,0.0,1,17.8534,17.8534,17.8534,17.8534,17.8534,17.8534,17.8534,17.8534,17.8534,17.8534,17.8534,17.8534,17.8534
516,516,516,drochia,rapid_loan_<=75_000_mdl,30000,30000,24,27.0,41.2092,0.0,1790.35,floating,guarantor,0.0,51,cohabitation,school,rural,new,2023-05-16,male,agriculture,15804.72,micro,2.0,109000.0,335400.0,249216,5173,25,,,,0,1.0,62,0,0.0,1,19.2205,19.2205,19.2205,19.2205,19.2205,19.2205,19.2205,19.2205,19.2205,19.2205,19.2205,19.2205,19.2205
517,517,517,soroca,rapid_loan_<=75_000_mdl,15000,15000,12,25.0,42.2616,0.0,1499.85,fixed,guarantor,0.0,51,cohabitation,school,urban,repeated,2020-01-24,female,commerce,0,micro,6.0,0.0,132000.0,45840,1425.66,0,,,,0,0.0,23,0,,1,17.495,17.495,17.495,17.495,17.495,17.495,17.495,17.495,17.495,17.495,17.495,17.495,17.495
518,518,518,soroca,rapid_loan_<=75_000_mdl,32000,32000,24,25.0,38.262,0.0,1860.61,fixed,guarantor,0.0,38,married,lyceum,urban,new,2019-04-01,female,other,0,micro,,,,,,,,,,,,,0,,1,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64
519,519,519,balti,rapid_loan_<=75_000_mdl,70000,70000,36,20.0,32.2668,0.0,2952.11,floating,guarantor,0.0,48,married,school,rural,new,2023-12-29,male,agriculture,60686.27,micro,20.0,125248.0,354000.0,196712.44,9628.13,0.37,,,,0,0.0,0,0,0.0,1,19.2805,19.2805,19.2805,19.2805,19.2805,19.2805,19.2805,19.2805,19.2805,19.2805,19.2805,19.2805,19.2805
520,520,520,soroca,rapid_loan_75_001_150000_mdl,75000,75000,22,23.0,31.344,0.0,12987.19,fixed,mixt,128675.0,32,married,school,rural,new,2021-03-17,female,agriculture,0,micro,13.0,38669.21,131600.0,-76400,5122.08,-0.8,,,,122,3.0,105_luni,nu,,1,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98
521,521,521,chisinau_strcalea_iesilor,rapid_loan_75_001_150000_mdl,100000,100000,36,20.0,32.766,0.0,4244.13,fixed,guarantor,0.0,26,divorced,higher,rural,new,2021-07-19,female,commerce,17360.45,micro,0.0,196484.0,376272.0,14343,7633,61,0.0,0.0,0.0,31,1.0,1,0,0.0,0,17.5774,17.5774,17.5774,17.5774,17.5774,17.5774,17.5774,17.5774,17.5774,17.5774,17.5774,17.5774,17.5774
522,522,522,causeni,rapid_loan_<=75_000_mdl,19000,19000,6,25.0,51.258,0.0,3389.41,fixed,guarantor,0.0,30,married,higher,urban,new,2022-07-18,female,services,0,micro,3.0,65323.0,273600.0,145800,5729,47,,,,31,2.0,37,0,0.0,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
523,523,523,soroca,rapid_loan_<=75_000_mdl,10000,10000,12,25.0,46.632,0.0,1005.57,fixed,guarantor,0.0,24,divorced,school,rural,repeated,2018-09-03,male,services,0,micro,,,,,,,,,,,,,,,1,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
524,524,524,balti,rapid_loan_<=75_000_mdl,40000,40000,24,25.0,38.8572,0.0,2338.09,fixed,guarantor,0.0,34,married,post_secondary,urban,new,2018-05-18,male,other,0,micro,,,,,,,,,,,,,,,1,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58
525,525,525,chisinau_str._puskin,rapid_loan_<=75_000_mdl,42000,42000,12,26.0,44.8272,2.0,4362.66,floating,guarantor,0.0,28,single,higher,urban,repeated,2023-07-25,male,commerce,0,micro,,,,,,,,,,,,,,,1,4051.82,4051.82,4051.82,4051.82,4051.82,4051.82,4051.82,4051.82,4051.82,4051.82,4051.82,4051.82,4051.82
526,526,526,edinet,rapid_loan_75_001_150000_mdl,70000,70000,24,20.0,33.5388,0.0,3901.04,fixed,guarantor,0.0,46,married,lyceum,urban,new,2018-09-28,female,commerce,0,micro,,,,,,,,,,,,,,,1,-372.3,-372.3,-372.3,-372.3,-372.3,-372.3,-372.3,-372.3,-372.3,-372.3,-372.3,-372.3,-372.3
527,527,527,soroca,rapid_loan_<=75_000_mdl,35000,35000,10,25.0,36.0516,0.0,4324.55,fixed,guarantor,0.0,67,married,0,rural,new,2019-04-15,female,agriculture,0,micro,16.0,108958.0,374400.0,173844,9034,62,,,,4,2.0,12,0,,1,18.06,18.06,18.06,18.06,18.06,18.06,18.06,18.06,18.06,18.06,18.06,18.06,18.06
528,528,528,chisinau_str._puskin,rapid_loan_75_001_150000_mdl,100000,100000,36,22.0,35.5812,0.0,4397.06,floating,guarantor,0.0,42,married,higher,urban,repeated,2022-08-02,female,commerce,0,micro,,,,,,,,,,,,,,,1,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68
529,529,529,edinet,rapid_loan_<=75_000_mdl,30000,30000,9,25.0,34.8336,6.0,12129.08,fixed,guarantor,0.0,66,married,school,rural,repeated,2021-02-26,male,agriculture,0,micro,10.0,0.0,583996.0,228948,3032,16,,,,0,0.0,96_luni,0,,1,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
530,530,530,edinet,rapid_loan_<=75_000_mdl,10000,10000,8,25.0,38.2968,0.0,4006.52,fixed,guarantor,0.0,67,married,school,rural,repeated,2022-03-10,male,agriculture,0,micro,10.0,20000.0,537204.0,183156,3046,20,,,,0,0.0,107_luni,0,,1,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25
531,531,531,edinet,rapid_loan_<=75_000_mdl,15000,15000,10,25.0,35.1096,6.0,4621.56,floating,guarantor,0.0,69,married,school,rural,repeated,2024-03-07,male,agriculture,15000,micro,10.0,0.0,173000.0,34500,1548,54,,,,21,0.0,132_luni,0,,1,17.395,17.395,17.395,17.395,17.395,17.395,17.395,17.395,17.395,17.395,17.395,17.395,17.395
532,532,532,soroca,rapid_loan_75_001_150000_mdl,150000,150000,33,23.0,33.3168,0.0,19630.17,floating,guarantor,0.0,27,married,lyceum,rural,new,2024-03-04,male,agriculture,150000,small,8.0,151653.0,750000.0,223200,10076.75,54,,,,31+,3.0,84,0,,1,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38
533,533,533,balti,rapid_loan_75_001_150000_mdl,100000,100000,36,19.0,32.0988,0.0,4208.28,fixed,guarantor,0.0,41,single,lyceum,rural,repeated,2021-05-28,female,agriculture,0,micro,7.0,155727.88,279000.0,219856.85,10682,0.58,,,,8,6.0,48,0,0.0,1,17.80129,17.80129,17.80129,17.80129,17.80129,17.80129,17.80129,17.80129,17.80129,17.80129,17.80129,17.80129,17.80129
534,534,534,causeni,rapid_loan_75_001_150000_mdl,100000,100000,36,25.0,37.6296,0.0,4507.42,floating,guarantor,0.0,31,single,lyceum,rural,new,2023-03-02,male,commerce,67189.49,micro,1.0,271808.0,4400100.0,429204,17461,49,,,,0,2.0,21,0,0.0,0,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25
535,535,535,edinet,rapid_loan_<=75_000_mdl,16000,16000,12,25.0,32.688,8.0,5116.21,fixed,guarantor,0.0,56,married,school,rural,new,2022-12-02,male,agriculture,0,micro,23.0,32236.0,219996.0,78660,4498,0.69,,,,0,4.0,110_luni,0,,1,19.248,19.248,19.248,19.248,19.248,19.248,19.248,19.248,19.248,19.248,19.248,19.248,19.248
